City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Benguela,AO,-12.5763,13.4055,78.91,77,94,2.17,overcast clouds
247,Xining,CN,36.6167,101.7667,39.83,24,49,1.97,scattered clouds
248,Qinhuangdao,CN,39.9317,119.5883,51.44,31,58,8.46,broken clouds
249,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,52,20,9.22,few clouds
250,Saint George,US,37.1041,-113.5841,55.99,43,20,5.75,few clouds
251,Tuatapere,NZ,-46.1333,167.6833,53.01,98,100,2.66,overcast clouds
252,Yulara,AU,-25.2406,130.9889,69.8,88,51,4.61,broken clouds
253,Kaitangata,NZ,-46.2817,169.8464,52.79,93,100,3.58,overcast clouds
254,Gondanglegi,ID,-7.7479,112.0132,75.36,92,100,3.94,overcast clouds
255,Nishihara,JP,26.1842,127.7558,64.4,55,20,12.66,few clouds
256,Raudeberg,NO,61.9875,5.1352,46.99,78,99,24.96,overcast clouds
257,Les Cayes,HT,18.2,-73.75,81.79,63,38,10.47,scattered clouds
258,Chimoio,MZ,-19.1164,33.4833,68.0,100,75,11.5,broken clouds
259,Kulhudhuffushi,MV,6.6221,73.07,83.08,73,65,7.99,broken clouds
260,Hun,LY,29.1268,15.9477,61.34,24,5,16.93,clear sky
261,Bandarbeyla,SO,9.4942,50.8122,78.57,60,1,9.4,clear sky
262,Superior,US,46.7208,-92.1041,39.99,93,90,12.66,light rain
263,Sorland,NO,67.667,12.6934,39.2,87,75,16.11,moderate rain
264,Vao,NC,-22.6667,167.4833,75.33,66,100,14.45,overcast clouds
265,Padang,ID,-0.9492,100.3543,75.2,100,75,3.44,broken clouds
266,Namibe,AO,-15.1961,12.1522,74.16,79,95,5.86,overcast clouds
267,Zhigansk,RU,66.7697,123.3711,-28.44,100,85,7.29,overcast clouds
268,Narsaq,GL,60.9167,-46.05,24.8,46,20,3.44,few clouds
269,Mattru,SL,7.6244,-11.8332,86.04,55,88,7.81,overcast clouds
270,Salalah,OM,17.0151,54.0924,80.6,74,0,5.75,clear sky
271,Santa Isabel,BR,-23.3156,-46.2214,86.0,48,40,5.75,scattered clouds
272,Villagarzon,CO,1.0375,-76.6267,84.69,63,83,3.74,broken clouds
273,Saint-Pierre,RE,-21.3393,55.4781,80.6,83,40,3.44,scattered clouds
274,Lipin Bor,RU,60.2622,37.9763,22.59,91,78,8.81,broken clouds
275,Kisarazu,JP,35.3747,139.9225,53.6,66,20,8.05,few clouds
276,Shimoda,JP,34.6667,138.95,46.0,67,0,3.0,clear sky
277,Kahului,US,20.8947,-156.47,70.0,100,1,4.61,clear sky
278,Grenfell,AU,-33.9,148.1667,60.4,93,100,7.54,overcast clouds
279,Areosa,PT,41.7178,-8.8571,60.01,76,0,9.22,clear sky
280,Bandundu,CD,-3.3167,17.3667,81.37,63,66,0.47,broken clouds
281,Illapel,CL,-31.6308,-71.1653,79.7,34,0,9.06,clear sky
282,Soyo,AO,-6.1349,12.3689,80.28,84,39,8.05,moderate rain
283,Nuuk,GL,64.1835,-51.7216,10.4,67,75,9.22,broken clouds
284,Abu Samrah,SY,35.3029,37.1841,62.56,68,54,23.2,broken clouds
285,Mackay,AU,-21.15,149.2,77.0,94,99,4.61,overcast clouds
286,Alofi,NU,-19.0595,-169.9187,78.8,94,40,5.75,scattered clouds
287,Ayr,GB,55.4627,-4.6339,50.0,76,75,20.71,broken clouds
288,Jalu,LY,29.0331,21.5482,64.89,23,0,19.28,clear sky
